budget,sample_id,uncertainty,normalized_uncertainty,rank,in_shortlist,selected
429,845,1.367618789813128,0.15402429774125745,2320,False,False
429,847,1.7471968985593351,0.19677323631468682,1721,False,False
429,848,0.6919376307767495,0.07792756903822652,3468,False,False
429,849,0.6049115568802743,0.06812649726521079,3565,False,False
429,850,0.7242132681180026,0.0815625237585527,3411,False,False
429,851,0.9923810703772313,0.11176418355399756,2984,False,False
429,852,2.0925658612274787,0.23566946407407288,1295,False,False
429,853,2.463020145885069,0.27739085710013817,889,True,False
429,854,2.1652941455635313,0.24386028669527834,1204,False,False
429,855,2.243406791523048,0.2526575082077657,1096,False,False
429,856,1.0264017715168507,0.11559567127610693,2927,False,False
429,857,2.6544078816933783,0.2989453734783403,747,True,False
429,858,0.32395068928849313,0.036484053737865285,3856,False,False
429,859,0.9962190789200182,0.11219642869053043,2978,False,False
429,860,1.0298337966616282,0.11598219365112264,2922,False,False
429,861,2.066025451936061,0.23268042360948937,1320,False,False
429,862,2.815246750919615,0.3170594079348676,621,True,False
429,863,3.5923167633122675,0.40457477687106264,271,True,False
429,864,2.7024445665593597,0.30435537274671237,704,True,False
429,865,2.9709111786581364,0.33459068517696844,532,True,False
429,866,4.0148806184688395,0.4521648666871163,172,True,False
429,868,1.1062155997601686,0.12458448375571474,2798,False,False
429,870,2.187141509925544,0.24632078590633127,1174,False,False
429,871,1.3184456307535148,0.1484863061983722,2390,False,False
429,872,2.9049679190670923,0.32716400727159406,569,True,False
429,873,0.5178337824419688,0.05831960286113182,3658,False,False
429,874,2.165337594945456,0.24386518006219324,1203,False,False
429,876,2.926285698601939,0.32956486345075375,560,True,False
429,877,4.422257266423855,0.49804453914030944,108,True,False
429,878,3.395403271634465,0.38239793746423006,340,True,False
429,879,4.4780961972117215,0.5043332448566143,102,True,False
429,880,1.1121544860006092,0.125253334453996,2783,False,False
429,881,1.2798740944138731,0.14414229320164634,2457,False,False
429,882,0.5245625427957876,0.059077410954941185,3651,False,False
429,883,0.7645069247996125,0.08610048581350538,3357,False,False
429,884,3.379571390332337,0.3806149154571864,349,True,False
429,885,3.817188009157297,0.4299002813036355,213,True,False
429,886,4.125463513015716,0.4646189604752731,150,True,False
429,887,3.3680711184723076,0.3793197290278477,357,True,False
429,888,2.0718470845318024,0.23333606893912778,1315,False,False
429,890,4.539894985242496,0.511293163072568,100,True,False
429,891,2.670554435490373,0.3007638346080411,735,True,False
429,892,2.5244036684796085,0.284304007190596,842,True,False
429,893,2.7301289638973634,0.3074732517127937,686,True,False
429,894,1.432658107124663,0.16134917163820706,2209,False,False
429,895,1.5987871393094695,0.18005899612094609,1947,False,False
429,896,0.9994895791329402,0.11256475976517644,2970,False,False
429,897,0.623868435123237,0.0702614634418146,3541,False,False
429,898,3.366700660675424,0.379165384994758,358,True,False
429,899,2.6673691020048453,0.3004050952013917,739,True,False
429,900,3.2520426491242955,0.3662523423829461,401,True,False
429,901,3.3793336491175534,0.3805881405079652,350,True,False
429,903,1.7952020760731315,0.20217968715433723,1652,False,False
429,904,3.427002941720825,0.3859567632350957,321,True,False
429,905,2.0525222488671058,0.2311596625718046,1339,False,False
429,906,3.9943694805252927,0.4498548562944831,176,True,False
429,907,3.282423401607143,0.3696738909174328,389,True,False
429,908,1.6939077548555237,0.1907716933428079,1797,False,False
429,909,0.4909177869252682,0.05528826303285035,3680,False,False
429,910,0.3047926761449775,0.03432643529731214,3880,False,False
429,911,2.142207042088527,0.24126016528271482,1237,False,False
429,912,2.664783710753348,0.30011392263571446,741,True,False
429,914,1.7993185544546944,0.2026432941891411,1647,False,False
429,915,2.450832552004321,0.2760182629221257,901,True,False
429,916,2.121398313513845,0.2389166395652583,1264,False,False
429,917,1.4452538054577386,0.16276772745563464,2190,False,False
429,918,1.6824947534864112,0.18948633551203567,1815,False,False
429,919,3.5050627995984365,0.3947480396353156,295,True,False
429,920,2.763877716771018,0.31127411201079985,656,True,False
429,921,0.975096111793952,0.1098175127221058,3015,False,False
